,id,keywords
27,289,"[{'id': 417, 'name': 'corruption'}, {'id': 2652, 'name': 'nazi'}, {'id': 10685, 'name': 'escape'}, {'id': 128, 'name': 'love triangle'}, {'id': 836, 'name': 'resistance'}, {'id': 470, 'name': 'spy'}, {'id': 1627, 'name': 'patriotism'}, {'id': 1623, 'name': 'casablanca, morocco'}, {'id': 1624, 'name': 'vichy regime'}, {'id': 1626, 'name': 'visa'}, {'id': 1628, 'name': 'nationalism'}, {'id': 1956, 'name': 'world war ii'}, {'id': 1629, 'name': 'morocco'}, {'id': 9807, 'name': 'film noir'}, {'id': 273967, 'name': 'war'}]"
28,48127,"[{'id': 2652, 'name': 'nazi'}, {'id': 5331, 'name': 'village'}, {'id': 2111, 'name': 'soviet union'}, {'id': 13005, 'name': 'doctor'}, {'id': 191003, 'name': 'nazi invasion'}]"
29,68094,"[{'id': 1502, 'name': 'marshal'}, {'id': 155291, 'name': 'cowboy'}]"
30,15855,"[{'id': 2199, 'name': 'opera'}, {'id': 4344, 'name': 'musical'}, {'id': 9714, 'name': 'remake'}, {'id': 15032, 'name': 'gothic horror'}, {'id': 182599, 'name': 'technicolor'}, {'id': 186849, 'name': 'literary adaptation'}, {'id': 206597, 'name': 'stage musical'}, {'id': 233843, 'name': 'phantom of the opera'}]"
31,56146,"[{'id': 5918, 'name': 'painting'}, {'id': 6611, 'name': 'tahiti'}]"
32,50001,"[{'id': 246, 'name': 'dancing'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 4333, 'name': 'theatre group'}, {'id': 6593, 'name': 'stripper'}, {'id': 9826, 'name': 'murder'}, {'id': 12570, 'name': 'whodunit'}, {'id': 14829, 'name': 'strangulation'}, {'id': 15167, 'name': 'police detective'}, {'id': 18147, 'name': 'strangler'}, {'id': 157144, 'name': 'stockings'}, {'id': 160845, 'name': 'dressing room'}, {'id': 163070, 'name': 'burlesque'}, {'id': 164623, 'name': 'chorus girl'}, {'id': 169590, 'name': 'police raid'}, {'id': 191205, 'name': 'burlesque dancer'}, {'id': 207046, 'name': 'murder mystery'}, {'id': 208254, 'name': 'g string'}, {'id': 230875, 'name': 'nylons'}, {'id': 233445, 'name': 'show girls'}, {'id': 280840, 'name': 'dancing man'}, {'id': 285695, 'name': 'theater'}, {'id': 296560, 'name': 'theatre producer'}, {'id': 297740, 'name': 'mystery novel'}, {'id': 301757, 'name': 'many beautiful girls'}, {'id': 314019, 'name': 'dancing girls'}, {'id': 320716, 'name': 'great legs'}]"
33,330445,[]
34,180114,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 2679, 'name': 'artist'}, {'id': 10325, 'name': 'mistaken identity'}, {'id': 437, 'name': 'painter'}, {'id': 13151, 'name': 'drawing'}, {'id': 33493, 'name': 'valet'}, {'id': 159422, 'name': 'assumed identity'}, {'id': 192391, 'name': 'spinster'}, {'id': 236170, 'name': '1900s'}, {'id': 268000, 'name': 'westminster abbey'}, {'id': 268006, 'name': 'edward vii'}]"
35,33039,"[{'id': 7376, 'name': 'princess'}, {'id': 2080, 'name': 'stewardess'}, {'id': 3203, 'name': 'pilot'}, {'id': 6464, 'name': 'uncle'}]"
36,21734,"[{'id': 1415, 'name': 'small town'}, {'id': 387, 'name': 'california'}, {'id': 295, 'name': 'library'}, {'id': 4129, 'name': 'widow'}, {'id': 974, 'name': 'bank'}, {'id': 703, 'name': 'detective'}, {'id': 2285, 'name': 'telegram'}, {'id': 3451, 'name': 'housewife'}, {'id': 9807, 'name': 'film noir'}, {'id': 11792, 'name': 'incest overtones'}, {'id': 9826, 'name': 'murder'}, {'id': 10718, 'name': 'fugitive'}, {'id': 10809, 'name': 'teenage girl'}, {'id': 12999, 'name': 'black and white'}, {'id': 13112, 'name': 'murderer'}, {'id': 15167, 'name': 'police detective'}, {'id': 18419, 'name': 'privacy'}, {'id': 33364, 'name': 'visit'}, {'id': 34221, 'name': 'gender roles'}, {'id': 157504, 'name': 'brother sister\xa0'}, {'id': 160790, 'name': 'wealthy widow'}, {'id': 162936, 'name': 'precocious child'}, {'id': 165288, 'name': 'misogynist'}, {'id': 165508, 'name': 'americana'}, {'id': 165913, 'name': 'uncle niece relationship'}, {'id': 204025, 'name': 'money in the bank'}, {'id': 207431, 'name': 'murder suspect'}, {'id': 232743, 'name': 'northern california'}, {'id': 274394, 'name': 'conflicting worldviews'}]"
37,22871,"[{'id': 233, 'name': 'japan'}, {'id': 339, 'name': 'submarine'}, {'id': 1956, 'name': 'world war ii'}, {'id': 3078, 'name': 'war strategy'}, {'id': 286981, 'name': '二战'}]"
38,98399,"[{'id': 4410, 'name': 'u.s. navy'}]"
39,74012,"[{'id': 339, 'name': 'submarine'}, {'id': 128, 'name': 'love triangle'}, {'id': 1956, 'name': 'world war ii'}]"
40,62749,"[{'id': 3203, 'name': 'pilot'}, {'id': 33702, 'name': 'bombing'}, {'id': 155554, 'name': 'semi-documentary'}, {'id': 160377, 'name': 'bomber pilot'}, {'id': 188765, 'name': 'bombardier'}]"
41,45220,"[{'id': 236, 'name': 'suicide'}, {'id': 2652, 'name': 'nazi'}, {'id': 1430, 'name': 'self sacrifice'}, {'id': 836, 'name': 'resistance'}, {'id': 3930, 'name': 'bravery'}, {'id': 1919, 'name': 'mayor'}, {'id': 3170, 'name': 'cigarette'}, {'id': 4709, 'name': 'hand grenade'}, {'id': 10508, 'name': 'teacher'}, {'id': 14856, 'name': 'informant'}, {'id': 158547, 'name': 'air raid'}, {'id': 170378, 'name': 'schoolteacher'}]"
42,94207,[]
43,218116,[]
44,23051,"[{'id': 3588, 'name': 'navy'}, {'id': 339, 'name': 'submarine'}, {'id': 6790, 'name': 'north atlantic'}, {'id': 10563, 'name': 'attack'}, {'id': 155499, 'name': 'convoy'}, {'id': 160881, 'name': 'navy lieutenant'}]"
45,980,"[{'id': 1582, 'name': 'saloon'}, {'id': 2284, 'name': 'horseback riding'}, {'id': 1197, 'name': 'nevada'}, {'id': 1679, 'name': 'arbitrary law'}, {'id': 14604, 'name': 'theft'}, {'id': 15108, 'name': 'justice'}, {'id': 157136, 'name': 'lynching'}, {'id': 160799, 'name': 'posse'}, {'id': 170450, 'name': 'lynch mob'}, {'id': 188922, 'name': 'cattle rustling'}, {'id': 207928, 'name': '19th century'}]"
46,22779,"[{'id': 2903, 'name': 'propaganda'}]"
47,112492,"[{'id': 191428, 'name': 'song writing'}, {'id': 210726, 'name': 'ghost writer'}]"
48,14906,"[{'id': 3478, 'name': 'parrot'}, {'id': 18257, 'name': 'educational'}, {'id': 162710, 'name': 'culture'}, {'id': 178898, 'name': 'cartoon dog'}, {'id': 181139, 'name': 'cartoon duck'}, {'id': 209220, 'name': 'live action and animation'}, {'id': 264118, 'name': 'brazil'}]"
49,43515,"[{'id': 4344, 'name': 'musical'}]"
50,120588,"[{'id': 4344, 'name': 'musical'}]"
51,38726,"[{'id': 5947, 'name': 'military service'}]"
52,69204,"[{'id': 4344, 'name': 'musical'}, {'id': 9273, 'name': 'coney island'}]"
53,59964,"[{'id': 290, 'name': 'angel'}, {'id': 6157, 'name': 'prayer'}, {'id': 6154, 'name': 'hell'}, {'id': 10229, 'name': 'singer'}, {'id': 14765, 'name': 'church'}, {'id': 155841, 'name': 'gambler'}]"
54,218113,"[{'id': 1627, 'name': 'patriotism'}, {'id': 1956, 'name': 'world war ii'}, {'id': 9663, 'name': 'sequel'}]"
55,43514,"[{'id': 11200, 'name': 'look-alike'}, {'id': 193526, 'name': 'all star'}]"
