,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
10,False,/mxw0wpRO6ZlLgIGTwr2HMjloNmx.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",,177751,tt0035757,en,Corvette K-225,"The story of a Canadian WWII naval vessel, with a dramatic subplot concerning her first captain.",2.341,/wh1zsNsElJNKkH5h6dQAXLR0NCV.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-09-29,0,98,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Thrilling ACTION! Stark REALISM!,Corvette K-225,False,6.182,11
11,False,/7L6SrvZgbTdNdj0lUA9L6C1mjuY.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 12, 'name': 'Adventure'}]",,15807,tt0035616,en,Air Force,The crew of an Air Force bomber arrives in Pearl Harbor in the aftermath of the Japanese attack and is sent on to Manila to help with the defense of the Philippines.,6.113,/mqH4V49GvANYsu1q4SW4CFUTFZe.jpg,"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-03-20,0,124,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,GIANTS OF THE SKY...blazing a trail to victory!,Air Force,False,6.3,53
12,False,/69Ha8P7zR7iFbyXhsUoLrrnTaZA.jpg,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,43518,tt0036432,en,Thousands Cheer,"Acrobat Eddie Marsh is in the army now. His first act is to become friendly with Kathryn Jones, the colonel's pretty daughter. Their romance hits a few snags, including disapproval from her father. Eddie's also plagued by fear of having an accident during his family's trapeze act in the army variety show, which also features a gallery of MGM stars.",5.569,/7YFjle5GLmpU7xajOVH25TH8ljU.jpg,"[{'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-09-13,0,126,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,LOVE STORY of an army camp,Thousands Cheer,False,6.4,17
13,False,/p9vb0XpMVPZEJoJxmoh9G2vi2Ni.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",,43517,tt0036430,en,This Is the Army,"In WW I dancer Jerry Jones stages an all-soldier show on Broadway, called Yip Yip Yaphank. Wounded in the War, he becomes a producer. In WW II his son Johnny Jones, who was before his fathers assistant, gets the order to stage a knew all-soldier show, called THIS IS THE ARMY. But in his pesonal life he has problems, because he refuses to marry his fiancée until the war is over.",4.181,/2zBY2WMlhQDd1t24RHvEBz055qT.jpg,"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-08-14,0,121,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,It's your own army - in the army's own show!,This Is the Army,False,5.7,19
14,False,/5tKkN7Lejj4fnOTCcH0Lh5lr34E.jpg,,0,"[{'id': 18, 'name': 'Drama'}]",,114186,tt0036057,en,Johnny Come Lately,"Cagney is a human dynamo as a drifter who helps save ailing Grace George from losing her newspaper. The pace is fast, and audiences of all ages will be pleased. The supporting cast, have all the small-town characterizations down pat -- with Margaret Hamilton a standout. Cagney himself, had genuine affection for this film, and listed it among his top five movie-making experiences at a retrospective the year before he died.",2.283,/1Cso3GYcNt1zyXsFdA1jaFhWwjK.jpg,"[{'id': 16056, 'logo_path': None, 'name': 'William Cagney Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-09-03,0,97,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A Story of a Wanderer Who Stops His Travels Long Enough to Help A Kindly Old Woman in Distress,Johnny Come Lately,False,6.5,14
15,False,/58omzraCM2cF9w8pRIUW0ClYxRb.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,67967,tt0035916,en,The Gang's All Here,A soldier falls for a chorus girl and then experiences trouble when he is posted to the Pacific.,5.383,/c8ayiYlqLkGAOYacaxX1hWm9ZX9.jpg,"[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-12-24,0,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,What a gang of song hits!,The Gang's All Here,False,5.8,34
16,False,/bRU32apzAB9pCFx49cYstPPIBtl.jpg,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,161512,tt0036166,en,Mission to Moscow,Ambassador Joseph Davies is sent by FDR to Russia to learn about the Soviet system and returns to America as an advocate of Stalinism.,2.536,/pQ2hj7sfTwUGtz7mulxAc28hKYQ.jpg,"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-04-29,0,124,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,One American's Journey into the Truth,Mission to Moscow,False,5.2,17
17,False,/oWyztJEgNcJsqEep2tMayZi7FgN.jpg,,0,"[{'id': 18, 'name': 'Drama'}]",,162110,tt0035888,en,Flight for Freedom,"A fictionalized biopic about aviation pioneer Amelia Earhart. A female pilot breaks the Los Angeles to New York record and attracts the interest of the U.S. Navy, who want to send her on a spy mission.",2.914,/zo92DUlVnwsQ1Z656JHrtW4JqaX.jpg,"[{'id': 6, 'logo_path': '/n53F7K9scQWFXYbrCablqLKqJdp.png', 'name': 'RKO Radio Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-04-14,0,102,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,EVERY WOMAN WILL UNDERSTAND WHAT THIS ONE WOMAN DID FOR LOVE!,Flight for Freedom,False,5.2,6
18,False,/Y1GoXaPO098QNz25Zv9W7Uvi91.jpg,,855000,"[{'id': 10752, 'name': 'War'}, {'id': 53, 'name': 'Thriller'}]",,60216,tt0035884,en,Five Graves to Cairo,"The British Army, retreating ahead of victorious Rommel, leaves a lone survivor on the Egyptian border who finds refuge at a remote desert hotel. He is helped by the hotel's owner, despite protest from the French chambermaid, afraid of the imminent arrival of Rommel and the Germans. John assumes the identity of the recently deceased waiter to survive.",7.623,/sZuSO4VcIzsGWuoQoM6oEyfp1HV.jpg,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-05-26,1200000,96,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Did a Woman Start the Rout of Rommel?,Five Graves to Cairo,False,6.93,115
19,False,/lrMaqHSDAoKh1tAgNTw8sIccxLa.jpg,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",,150778,tt0036367,en,So Proudly We Hail,"During the start of the Pacific campaign in World War II, Lieutenant Janet Davidson is the head of a group of U.S. military nurses who are trapped behind enemy lines in the Philippines. Davidson tries to keep up the spirits of her staff, which includes Lieutenants Joan O'Doul and Olivia D'Arcy. They all seek to maintain a sense of normal life, including dating, while under constant danger as they tend to wounded soldiers.",3.515,/1HELEee7lRd1ul37F4tQCRbGOiX.jpg,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1943-09-09,0,126,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The First Great Love Story of Our Women at the Fighting Front!,So Proudly We Hail,False,5.4,20
