,year_film,year_award,ceremony,category,nominee,film,win,tmdb_id
1135,1968,1969,26,BEST PICTURE (COM),"Odd Couple, The","Odd Couple, The",False,11356.0
1136,1968,1969,26,BEST PICTURE (COM),"Yours, Mine and Ours","Yours, Mine and Ours",False,27983.0
1137,1968,1969,26,ACTRESS (DRAMA),Joanne Woodward,"Rachel, Rachel",True,42635.0
1138,1968,1969,26,ACTRESS (DRAMA),Beryl Reid,"Killing of Sister George, The",False,54575.0
1139,1968,1969,26,ACTRESS (DRAMA),Mia Farrow,Rosemary's Baby,False,805.0
1140,1968,1969,26,ACTRESS (DRAMA),Katharine Hepburn,The Lion in Winter,False,18988.0
1141,1968,1969,26,ACTRESS (DRAMA),Vanessa Redgrave,Isadora,False,42626.0
1142,1968,1969,26,ACTOR (DRAMA),Peter O'Toole,The Lion in Winter,True,18988.0
1143,1968,1969,26,ACTOR (DRAMA),Alan Arkin,"Heart Is a Lonely Hunter, The",False,22176.0
1144,1968,1969,26,ACTOR (DRAMA),Alan Bates,"Fixer, The",False,87267.0
1145,1968,1969,26,ACTOR (DRAMA),Tony Curtis,"Boston Strangler, The",False,26690.0
1146,1968,1969,26,ACTOR (DRAMA),Cliff Robertson,Charly,False,29146.0
1147,1968,1969,26,ACTOR (COM),Ron Moody,Oliver!,True,17917.0
1148,1968,1969,26,ACTOR (COM),Fred Astaire,Finian's Rainbow,False,42622.0
1149,1968,1969,26,ACTOR (COM),Jack Lemmon,"Odd Couple, The",False,11356.0
1150,1968,1969,26,ACTOR (COM),Walter Matthau,"Odd Couple, The",False,11356.0
1151,1968,1969,26,ACTOR (COM),Zero Mostel,"Producers, The",False,30197.0
1152,1968,1969,26,ACTRESS IN A SUPPORTING ROLE,Ruth Gordon,Rosemary's Baby,True,805.0
1153,1968,1969,26,ACTRESS IN A SUPPORTING ROLE,Barbara Hancock,Finian's Rainbow,False,42622.0
1154,1968,1969,26,ACTRESS IN A SUPPORTING ROLE,Abbey Lincoln,For Love of Ivy,False,70591.0
1155,1968,1969,26,ACTRESS IN A SUPPORTING ROLE,Sondra Locke,"Heart Is a Lonely Hunter, The",False,22176.0
1156,1968,1969,26,ACTRESS IN A SUPPORTING ROLE,Jane Morrow,The Lion in Winter,False,18988.0
1157,1968,1969,26,ACTOR IN A SUPPORTING ROLE,Daniel Massey,Star!,True,52959.0
1158,1968,1969,26,ACTOR IN A SUPPORTING ROLE,Beau Bridges,For Love of Ivy,False,70591.0
1159,1968,1969,26,ACTOR IN A SUPPORTING ROLE,Ossie Davis,"Scalphunters, The",False,32068.0
1160,1968,1969,26,ACTOR IN A SUPPORTING ROLE,Hugh Griffith,Oliver!,False,17917.0
1161,1968,1969,26,ACTOR IN A SUPPORTING ROLE,Martin Sheen,"Subject Was Roses, The",False,118872.0
1162,1968,1969,26,DIRECTING,Paul Newman,"Rachel, Rachel",True,42635.0
1163,1968,1969,26,DIRECTING,Franco Zeffirelli,Romeo and Juliet,False,6003.0
1164,1968,1969,26,DIRECTING,Anthony Harvey,The Lion in Winter,False,18988.0
1165,1968,1969,26,DIRECTING,Carol Reed,Oliver!,False,17917.0
1166,1968,1969,26,DIRECTING,William Wyler,Funny Girl,False,16085.0
1167,1968,1969,26,BEST SCREENPLAY,Stirling Silliphant,Charly,True,29146.0
1168,1968,1969,26,BEST SCREENPLAY,Dalton Trumbo,"Fixer, The",False,87267.0
1169,1968,1969,26,BEST SCREENPLAY,James Goldman,The Lion in Winter,False,18988.0
1170,1968,1969,26,BEST SCREENPLAY,Mel Brooks,"Producers, The",False,30197.0
1171,1968,1969,26,BEST SCREENPLAY,Roman Polanski,Rosemary's Baby,False,805.0
1172,1968,1969,26,BEST SCORE,Alex North,"Shoes of the Fisherman, The",True,17665.0
1173,1968,1969,26,BEST SCORE,"Richard M. Sherman, Robert B. Sherman",Chitty Chitty Bang Bang,False,11708.0
1174,1968,1969,26,BEST SCORE,John Barry,The Lion in Winter,False,18988.0
1175,1968,1969,26,BEST SCORE,Lionel Bart,Oliver!,False,17917.0
1176,1968,1969,26,BEST SCORE,Nino Rota,Romeo and Juliet,False,6003.0
1177,1968,1969,26,BEST SCORE,Christopher Komeda,Rosemary's Baby,False,805.0
1178,1968,1969,26,BEST SCORE,Michel Legrand,"Thomas Crown Affair, The",False,912.0
1179,1968,1969,26,BEST SONG,"The Windmills Of Your Mind, Michel Legrand, Alan Bergman, Marilyn Bergman","Thomas Crown Affair, The",True,912.0
1180,1968,1969,26,BEST SONG,"Buona Sera, Mrs. Campbell, Riz Ortolani, Melvin Frank","Buona Sera, Mrs. Campbell",False,32831.0
1181,1968,1969,26,BEST SONG,"Chitty Chitty Bang Bang, Richard M. Sherman, Robert B. Sherman",Chitty Chitty Bang Bang,False,11708.0
1182,1968,1969,26,BEST SONG,"Funny Girl, Jule Styne, Bob Merrill",Funny Girl,False,16085.0
1183,1968,1969,26,BEST SONG,"Star!, Jimmy Van Heusen, Sammy Cahn",Star!,False,52959.0
1184,1968,1969,26,SPECIAL AWARD,Gregory Peck,,False,
1185,1968,1969,26,ACTRESS (COM),Barbra Streisand,Funny Girl,True,16085.0
1186,1968,1969,26,ACTRESS (COM),Julie Andrews,Star!,False,52959.0
1187,1968,1969,26,ACTRESS (COM),Lucille Ball,"Yours, Mine and Ours",False,27983.0
1188,1968,1969,26,ACTRESS (COM),Petula Clark,Finian's Rainbow,False,42622.0
1189,1968,1969,26,ACTRESS (COM),Gina Lollobrigida,"Buona Sera, Mrs. Campbell",False,32831.0
1190,1968,1969,26,FOREIGN,"United Soviet Socialist Republics, Sergei Bondarchuk",War and Peace,True,149468.0
1191,1968,1969,26,FOREIGN,"Yugoslavia, Aleksandar Petrovic",I Even Met Happy Gypsies,False,59088.0
1192,1968,1969,26,FOREIGN,"Sweden, Ingmar Bergman",Shame,False,26372.0
1193,1968,1969,26,FOREIGN,"France, François Truffaut",Stolen Kisses,False,255.0
1194,1968,1969,26,FOREIGN,"France, François Truffaut","Bride Wore Black, The",False,4191.0
1195,1968,1969,26,FOREIGN,"Italy, Franco Zeffirelli",Romeo and Juliet,True,6003.0
1196,1968,1969,26,FOREIGN,"France, Michel Deville",Benjamin,False,111965.0
1197,1968,1969,26,FOREIGN,"United Kingdom, Melvin Frank","Buona Sera, Mrs. Campbell",False,32831.0
1198,1968,1969,26,FOREIGN,"United Kingdom, Michael Sarne",Joanna,False,94662.0
1199,1968,1969,26,FOREIGN,"United Kingdom, Ken Loach",Poor Cow,False,76072.0
1200,1968,1969,26,SPECIAL AWARD,Sophia Loren,,True,
1201,1968,1969,26,SPECIAL AWARD,Sidney Poitier,,True,
1202,1969,1970,27,BEST PICTURE (DRAMA),Anne of the Thousand Days,Anne of the Thousand Days,True,22522.0
1203,1969,1970,27,BEST PICTURE (DRAMA),Butch Cassidy and The Sundance Kid,Butch Cassidy and The Sundance Kid,False,642.0
1204,1969,1970,27,BEST PICTURE (DRAMA),Midnight Cowboy,Midnight Cowboy,False,3116.0
1205,1969,1970,27,BEST PICTURE (DRAMA),"Prime of Miss Jean Brodie, The","Prime of Miss Jean Brodie, The",False,5179.0
1206,1969,1970,27,BEST PICTURE (DRAMA),"They Shoot Horses, Don't They?","They Shoot Horses, Don't They?",False,28145.0
1207,1969,1970,27,BEST PICTURE (COM),"Secret of Santa Vittoria, The","Secret of Santa Vittoria, The",True,30298.0
1208,1969,1970,27,BEST PICTURE (COM),Cactus Flower,Cactus Flower,False,28289.0
1209,1969,1970,27,BEST PICTURE (COM),"Goodbye, Columbus","Goodbye, Columbus",False,42604.0
1210,1969,1970,27,BEST PICTURE (COM),"Hello, Dolly!","Hello, Dolly!",False,14030.0
1211,1969,1970,27,BEST PICTURE (COM),Paint Your Wagon,Paint Your Wagon,False,20391.0
1212,1969,1970,27,ACTRESS (DRAMA),Geneviève Bujold,Anne of the Thousand Days,True,22522.0
1213,1969,1970,27,ACTRESS (DRAMA),Maggie Smith,"Prime of Miss Jean Brodie, The",False,5179.0
1214,1969,1970,27,ACTRESS (DRAMA),Jane Fonda,"They Shoot Horses, Don't They?",False,28145.0
1215,1969,1970,27,ACTRESS (DRAMA),Liza Minnelli,"Sterile Cuckoo, The",False,54494.0
1216,1969,1970,27,ACTRESS (DRAMA),Jean Simmons,"Happy Ending, The",False,94608.0
1217,1969,1970,27,ACTOR (DRAMA),John Wayne,True Grit,True,17529.0
1218,1969,1970,27,ACTOR (DRAMA),Alan Arkin,Popi,False,92289.0
1219,1969,1970,27,ACTOR (DRAMA),Richard Burton,Anne of the Thousand Days,False,22522.0
1220,1969,1970,27,ACTOR (DRAMA),Dustin Hoffman,Midnight Cowboy,False,3116.0
1221,1969,1970,27,ACTOR (DRAMA),Jon Voight,Midnight Cowboy,False,3116.0
1222,1969,1970,27,ACTOR (COM),Peter O'Toole,"Goodbye, Mr. Chips",True,42607.0
1223,1969,1970,27,ACTOR (COM),Lee Marvin,Paint Your Wagon,False,20391.0
1224,1969,1970,27,ACTOR (COM),Steve McQueen,"Reivers, The",False,5928.0
1225,1969,1970,27,ACTOR (COM),Anthony Quinn,"Secret of Santa Vittoria, The",False,30298.0
1226,1969,1970,27,ACTOR (COM),Dustin Hoffman,John and Mary,False,61742.0
1227,1969,1970,27,ACTRESS IN A SUPPORTING ROLE,Goldie Hawn,Cactus Flower,True,28289.0
1228,1969,1970,27,ACTRESS IN A SUPPORTING ROLE,Marianne McAndrew,"Hello, Dolly!",False,14030.0
1229,1969,1970,27,ACTRESS IN A SUPPORTING ROLE,Sian Phillips,"Goodbye, Mr. Chips",False,42607.0
1230,1969,1970,27,ACTRESS IN A SUPPORTING ROLE,Brenda Vaccaro,Midnight Cowboy,False,3116.0
1231,1969,1970,27,ACTRESS IN A SUPPORTING ROLE,Susannah York,"They Shoot Horses, Don't They?",False,28145.0
1232,1969,1970,27,ACTOR IN A SUPPORTING ROLE,Gig Young,"They Shoot Horses, Don't They?",True,28145.0
1233,1969,1970,27,ACTOR IN A SUPPORTING ROLE,Jack Nicholson,Easy Rider,False,624.0
1234,1969,1970,27,ACTOR IN A SUPPORTING ROLE,Anthony Quayle,Anne of the Thousand Days,False,22522.0
1235,1969,1970,27,ACTOR IN A SUPPORTING ROLE,Mitch Vogel,"Reivers, The",False,5928.0
1236,1969,1970,27,ACTOR IN A SUPPORTING ROLE,Red Buttons,"They Shoot Horses, Don't They?",False,28145.0
1237,1969,1970,27,DIRECTING,Charles Jarrott,Anne of the Thousand Days,True,22522.0
1238,1969,1970,27,DIRECTING,Gene Kelly,"Hello, Dolly!",False,14030.0
1239,1969,1970,27,DIRECTING,Stanley Kramer,"Secret of Santa Vittoria, The",False,30298.0
1240,1969,1970,27,DIRECTING,Sydney Pollack,"They Shoot Horses, Don't They?",False,28145.0
1241,1969,1970,27,DIRECTING,John Schlesinger,Midnight Cowboy,False,3116.0
1242,1969,1970,27,BEST SCREENPLAY,Bridget Boland,Anne of the Thousand Days,True,22522.0
1243,1969,1970,27,BEST SCREENPLAY,David Shaw,"If It's Tuesday, This Must Be Belgium",False,11643.0
1244,1969,1970,27,BEST SCREENPLAY,John Mortimer,John and Mary,False,61742.0
1245,1969,1970,27,BEST SCREENPLAY,Waldo Salt,Midnight Cowboy,False,3116.0
1246,1969,1970,27,BEST SCREENPLAY,William Goldman,Butch Cassidy and The Sundance Kid,False,642.0
1247,1969,1970,27,BEST SCORE,Burt Bacharach,Butch Cassidy and The Sundance Kid,True,642.0
1248,1969,1970,27,BEST SCORE,Ernest Gold,"Secret of Santa Vittoria, The",False,30298.0
1249,1969,1970,27,BEST SCORE,Georges Delerue,Anne of the Thousand Days,False,22522.0
1250,1969,1970,27,BEST SCORE,Leslie Bricusse,"Goodbye, Mr. Chips",False,42607.0
1251,1969,1970,27,BEST SCORE,Michel Legrand,"Happy Ending, The",False,94608.0
1252,1969,1970,27,BEST SONG,"Jean, Rod McKuen","Prime of Miss Jean Brodie, The",True,5179.0
1253,1969,1970,27,BEST SONG,"Goodbye, Columbus, The Association","Goodbye, Columbus",False,42604.0
1254,1969,1970,27,BEST SONG,"Raindrops Keep Fallin' On My Head, Burt Bacharach, Hal David",Butch Cassidy and The Sundance Kid,False,642.0
1255,1969,1970,27,BEST SONG,"Stay, Ernest Gold, Norman Gimbel","Secret of Santa Vittoria, The",False,30298.0
1256,1969,1970,27,BEST SONG,"The Time For Love Is Any Time, Quincy Jones, Cynthia Weil",Cactus Flower,False,28289.0
1257,1969,1970,27,BEST SONG,"True Grit, Elmer Bernstein, Don Black",True Grit,False,17529.0
1258,1969,1970,27,BEST SONG,"What Are You Doing the Rest Of Your Life?, Michel Legrand, Alan Bergman, Marilyn Bergman","Happy Ending, The",False,94608.0
1259,1969,1970,27,SPECIAL AWARD,Joan Crawford,,False,
1260,1969,1970,27,ACTRESS (COM),Patty Duke,"Me, Natalie",True,181553.0
1261,1969,1970,27,ACTRESS (COM),Ingrid Bergman,Cactus Flower,False,28289.0
1262,1969,1970,27,ACTRESS (COM),Dyan Cannon,Bob & Carol & Ted & Alice,False,26520.0
1263,1969,1970,27,ACTRESS (COM),Kim Darby,Generation,False,86941.0
1264,1969,1970,27,ACTRESS (COM),Mia Farrow,John and Mary,False,61742.0
1265,1969,1970,27,ACTRESS (COM),Shirley MacLaine,Sweet Charity,False,42618.0
1266,1969,1970,27,ACTRESS (COM),Anna Magnani,"Secret of Santa Vittoria, The",False,30298.0
1267,1969,1970,27,ACTRESS (COM),Barbra Streisand,"Hello, Dolly!",False,14030.0
1268,1969,1970,27,FOREIGN,"Algeria, Constantin Costa-Gavras",Z,True,2721.0
1269,1969,1970,27,FOREIGN,"Italy, Federico Fellini",Fellini Satyricon,False,11163.0
1270,1969,1970,27,FOREIGN,"Greece, Vasilis Georgiadis",Girls in the Sun,False,276525.0
1271,1969,1970,27,FOREIGN,"Sweden, Bo Widerberg",Adalen 31,False,87208.0
1272,1969,1970,27,FOREIGN,"Israel, Ephraim Kishon","Big Dig, The",False,52069.0
1273,1969,1970,27,FOREIGN,"United Kingdom, Richard Attenborough",Oh! What a Lovely War,True,21335.0
1274,1969,1970,27,FOREIGN,"United Kingdom, Basil Dearden","Assassination Bureau, The",False,69526.0
1275,1969,1970,27,FOREIGN,"United Kingdom, Lindsay Anderson",If....,False,11643.0
1276,1969,1970,27,FOREIGN,"United Kingdom, Peter Collinson","Italian Job, The",False,10536.0
1277,1969,1970,27,FOREIGN,"France, Terence Young",Mayerling,False,63888.0
1278,1969,1970,27,SPECIAL AWARD,Steve McQueen,,True,
1279,1969,1970,27,SPECIAL AWARD,Barbra Streisand,,True,
1280,1970,1971,28,BEST PICTURE (DRAMA),Love Story,Love Story,True,9062.0
1281,1970,1971,28,BEST PICTURE (DRAMA),Five Easy Pieces,Five Easy Pieces,False,26617.0
1282,1970,1971,28,BEST PICTURE (DRAMA),I Never Sang For My Father,I Never Sang For My Father,False,92283.0
1283,1970,1971,28,BEST PICTURE (DRAMA),Patton,Patton,False,11202.0
1284,1970,1971,28,BEST PICTURE (DRAMA),Airport,Airport,False,10671.0
1285,1970,1971,28,BEST PICTURE (COM),M*A*S*H,M*A*S*H,True,651.0
1286,1970,1971,28,BEST PICTURE (COM),Darling Lili,Darling Lili,False,42586.0
1287,1970,1971,28,BEST PICTURE (COM),Diary of a Mad Housewife,Diary of a Mad Housewife,False,31677.0
1288,1970,1971,28,BEST PICTURE (COM),Lovers and Other Strangers,Lovers and Other Strangers,False,42593.0
1289,1970,1971,28,BEST PICTURE (COM),Scrooge,Scrooge,False,13765.0
1290,1970,1971,28,ACTRESS (DRAMA),Ali MacGraw,Love Story,True,9062.0
1291,1970,1971,28,ACTRESS (DRAMA),Faye Dunaway,Puzzle of a Downfall Child,False,92937.0
1292,1970,1971,28,ACTRESS (DRAMA),Glenda Jackson,Women In Love,False,66027.0
1293,1970,1971,28,ACTRESS (DRAMA),Melina Mercouri,Promise at Dawn,False,277364.0
1294,1970,1971,28,ACTRESS (DRAMA),Sarah Miles,Ryan's Daughter,False,38953.0
1295,1970,1971,28,ACTOR (DRAMA),George C. Scott,Patton,True,11202.0
1296,1970,1971,28,ACTOR (DRAMA),Melvyn Douglas,I Never Sang For My Father,False,92283.0
1297,1970,1971,28,ACTOR (DRAMA),James Earl Jones,"Great White Hope, The",False,17978.0
1298,1970,1971,28,ACTOR (DRAMA),Jack Nicholson,Five Easy Pieces,False,26617.0
1299,1970,1971,28,ACTOR (DRAMA),Ryan O'Neal,Love Story,False,9062.0
1300,1970,1971,28,ACTOR (COM),Albert Finney,Scrooge,True,13765.0
1301,1970,1971,28,ACTOR (COM),Richard Benjamin,Diary of a Mad Housewife,False,31677.0
1302,1970,1971,28,ACTOR (COM),Elliott Gould,M*A*S*H,False,651.0
1303,1970,1971,28,ACTOR (COM),Jack Lemmon,"Out-of-Towners, The",False,20444.0
1304,1970,1971,28,ACTOR (COM),Donald Sutherland,M*A*S*H,False,651.0
1305,1970,1971,28,ACTRESS IN A SUPPORTING ROLE,Karen Black,Five Easy Pieces,True,26617.0
1306,1970,1971,28,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,Airport,True,10671.0
1307,1970,1971,28,ACTRESS IN A SUPPORTING ROLE,Lee Grant,"Landlord, The",False,64828.0
1308,1970,1971,28,ACTRESS IN A SUPPORTING ROLE,Sally Kellerman,M*A*S*H,False,651.0
1309,1970,1971,28,ACTRESS IN A SUPPORTING ROLE,Tina Chen,"Hawaiians, The",False,85290.0
1310,1970,1971,28,ACTOR IN A SUPPORTING ROLE,John Mills,Ryan's Daughter,True,38953.0
1311,1970,1971,28,ACTOR IN A SUPPORTING ROLE,Chief Dan George,Little Big Man,False,11040.0
1312,1970,1971,28,ACTOR IN A SUPPORTING ROLE,Trevor Howard,Ryan's Daughter,False,38953.0
1313,1970,1971,28,ACTOR IN A SUPPORTING ROLE,George Kennedy,Airport,False,10671.0
1314,1970,1971,28,ACTOR IN A SUPPORTING ROLE,John Marley,Love Story,False,9062.0
1315,1970,1971,28,DIRECTING,Arthur Hiller,Love Story,True,9062.0
1316,1970,1971,28,DIRECTING,Robert Altman,M*A*S*H,False,651.0
1317,1970,1971,28,DIRECTING,Bob Rafelson,Five Easy Pieces,False,26617.0
1318,1970,1971,28,DIRECTING,Ken Russell,Women In Love,False,66027.0
1319,1970,1971,28,DIRECTING,Franklin J. Schaffner,Patton,False,11202.0
1320,1970,1971,28,BEST SCREENPLAY,Erich Segal,Love Story,True,9062.0
1321,1970,1971,28,BEST SCREENPLAY,Leslie Bricusse,Scrooge,False,13765.0
1322,1970,1971,28,BEST SCREENPLAY,Carole Eastman,Five Easy Pieces,False,26617.0
1323,1970,1971,28,BEST SCREENPLAY,John Cassavetes,Husbands,False,52105.0
1324,1970,1971,28,BEST SCREENPLAY,Ring Lardner Jr.,M*A*S*H,False,651.0
1325,1970,1971,28,BEST SCORE,Francis Lai,Love Story,True,9062.0
1326,1970,1971,28,BEST SCORE,Michel Legrand,Wuthering Heights,False,98491.0
1327,1970,1971,28,BEST SCORE,Alfred Newman,Airport,False,10671.0
1328,1970,1971,28,BEST SCORE,Frank Cordell,Cromwell,False,31675.0
1329,1970,1971,28,BEST SCORE,Leslie Bricusse,Scrooge,False,13765.0
1330,1970,1971,28,BEST SONG,"Whistling Away the Dark, Henry Mancini, Johnny Mercer",Darling Lili,True,42586.0
1331,1970,1971,28,BEST SONG,"Ballad of Little Fauss, Carl Perkins, Johnny Cash",Little Fauss and Big Halsey,False,44721.0
1332,1970,1971,28,BEST SONG,"Pieces of Dreams, Michel Legrand, Alan Bergman, Marilyn Bergman",Pieces of Dreams,False,94468.0
1333,1970,1971,28,BEST SONG,"Thank You Very Much, Leslie Bricusse",Scrooge,False,13765.0
1334,1970,1971,28,BEST SONG,"Till Love Touches Your Life, Riz Ortolani, Arthur Hamilton",Madron,False,216603.0
1335,1970,1971,28,SPECIAL AWARD,Frank Sinatra,,False,
1336,1970,1971,28,ACTRESS (COM),Carrie Snodgress,Diary of a Mad Housewife,True,31677.0
1337,1970,1971,28,ACTRESS (COM),Julie Andrews,Darling Lili,False,42586.0
1338,1970,1971,28,ACTRESS (COM),Sandy Dennis,"Out-of-Towners, The",False,20444.0
1339,1970,1971,28,ACTRESS (COM),Angela Lansbury,Something for Everyone,False,150043.0
1340,1970,1971,28,ACTRESS (COM),Barbra Streisand,"Owl and The Pussycat, The",False,42597.0
1341,1970,1971,28,FOREIGN,"France, René Clément",Rider on the Rain,True,27889.0
1342,1970,1971,28,FOREIGN,"Italy, Jacques Deray",Borsalino,False,25251.0
1343,1970,1971,28,FOREIGN,"France, Constantin Costa-Gavras","Confession, The",False,60859.0
1344,1970,1971,28,FOREIGN,"Italy, Elio Petri",Investigation of a Citizen Above Suspicion,False,26451.0
1345,1970,1971,28,FOREIGN,"Israel, Moshé Mizrahi",The Customer of the Off Season,False,265576.0
1346,1970,1971,28,FOREIGN,"United Kingdom, Ken Russell",Women In Love,True,66027.0
1347,1970,1971,28,FOREIGN,"Canada, Paul Almond",Act of the Heart,False,139713.0
1348,1970,1971,28,FOREIGN,"United Kingdom, Richard Harris, Uri Zohar",Bloomfield,False,3421.0
1349,1970,1971,28,FOREIGN,"United Kingdom, Christopher Miles","Virgin and the Gypsy, The",False,81888.0
1350,1970,1971,28,FOREIGN,"Japan, Keith Larsen, Koji Senno, Nobuaki Shirai","Walking Major, The",False,277366.0
1351,1970,1971,28,SPECIAL AWARD,Barbra Streisand,,True,
1352,1970,1971,28,SPECIAL AWARD,Clint Eastwood,,True,
1353,1971,1972,29,BEST PICTURE (DRAMA),"French Connection, The","French Connection, The",True,1051.0
1354,1971,1972,29,BEST PICTURE (DRAMA),"Clockwork Orange, A","Clockwork Orange, A",False,185.0
1355,1971,1972,29,BEST PICTURE (DRAMA),"Last Picture Show, The","Last Picture Show, The",False,25188.0
1356,1971,1972,29,BEST PICTURE (DRAMA),"Mary, Queen of Scots","Mary, Queen of Scots",False,46067.0
1357,1971,1972,29,BEST PICTURE (DRAMA),Summer of '42,Summer of '42,False,41357.0
1358,1971,1972,29,BEST PICTURE (COM),Fiddler on the Roof,Fiddler on the Roof,True,14811.0
1359,1971,1972,29,BEST PICTURE (COM),"Boy Friend, The","Boy Friend, The",False,31515.0
1360,1971,1972,29,BEST PICTURE (COM),Kotch,Kotch,False,76002.0
1361,1971,1972,29,BEST PICTURE (COM),"New Leaf, A","New Leaf, A",False,36850.0
1362,1971,1972,29,BEST PICTURE (COM),Plaza Suite,Plaza Suite,False,42514.0
1363,1971,1972,29,ACTRESS (DRAMA),Jane Fonda,Klute,True,466.0
1364,1971,1972,29,ACTRESS (DRAMA),Dyan Cannon,Such Good Friends,False,118915.0
1365,1971,1972,29,ACTRESS (DRAMA),Glenda Jackson,"Mary, Queen of Scots",False,46067.0
1366,1971,1972,29,ACTRESS (DRAMA),Vanessa Redgrave,"Mary, Queen of Scots",False,46067.0
1367,1971,1972,29,ACTRESS (DRAMA),Jessica Walter,Play Misty for Me,False,15393.0
1368,1971,1972,29,ACTOR (DRAMA),Gene Hackman,"French Connection, The",True,1051.0
1369,1971,1972,29,ACTOR (DRAMA),George C. Scott,The Hospital,False,32082.0
1370,1971,1972,29,ACTOR (DRAMA),Peter Finch,Sunday Bloody Sunday,False,45938.0
1371,1971,1972,29,ACTOR (DRAMA),Malcolm McDowell,"Clockwork Orange, A",False,185.0
1372,1971,1972,29,ACTOR (DRAMA),Jack Nicholson,Carnal Knowledge,False,36492.0
1373,1971,1972,29,ACTOR (COM), Topol,Fiddler on the Roof,True,14811.0
1374,1971,1972,29,ACTOR (COM),Bud Cort,Harold and Maude,False,343.0
1375,1971,1972,29,ACTOR (COM),Dean Jones,"$1,000,000 Duck",False,22777.0
1376,1971,1972,29,ACTOR (COM),Walter Matthau,Kotch,False,76002.0
1377,1971,1972,29,ACTOR (COM),Gene Wilder,Willy Wonka & The Chocolate Factory,False,252.0
1378,1971,1972,29,ACTRESS IN A SUPPORTING ROLE,Ann-Margret,Carnal Knowledge,True,36492.0
1379,1971,1972,29,ACTRESS IN A SUPPORTING ROLE,Cloris Leachman,"Last Picture Show, The",False,25188.0
1380,1971,1972,29,ACTRESS IN A SUPPORTING ROLE,Diana Rigg,The Hospital,False,32082.0
1381,1971,1972,29,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,Plaza Suite,False,42514.0
1382,1971,1972,29,ACTRESS IN A SUPPORTING ROLE,Ellen Burstyn,"Last Picture Show, The",False,25188.0
1383,1971,1972,29,ACTOR IN A SUPPORTING ROLE,Ben Johnson,"Last Picture Show, The",True,25188.0
1384,1971,1972,29,ACTOR IN A SUPPORTING ROLE,Tom Baker,Nicholas and Alexandra,False,38646.0
1385,1971,1972,29,ACTOR IN A SUPPORTING ROLE,Art Garfunkel,Carnal Knowledge,False,36492.0
1386,1971,1972,29,ACTOR IN A SUPPORTING ROLE,Paul Mann,Fiddler on the Roof,False,14811.0
1387,1971,1972,29,ACTOR IN A SUPPORTING ROLE,Jan-Michael Vincent,Going Home,False,98534.0
1388,1971,1972,29,DIRECTING,William Friedkin,"French Connection, The",True,1051.0
1389,1971,1972,29,DIRECTING,Peter Bogdanovich,"Last Picture Show, The",False,25188.0
1390,1971,1972,29,DIRECTING,Norman Jewison,Fiddler on the Roof,False,14811.0
1391,1971,1972,29,DIRECTING,Stanley Kubrick,"Clockwork Orange, A",False,185.0
1392,1971,1972,29,DIRECTING,Robert Mulligan,Summer of '42,False,41357.0
1393,1971,1972,29,BEST SCREENPLAY,Paddy Chayefsky,The Hospital,True,32082.0
1394,1971,1972,29,BEST SCREENPLAY,John Hale,"Mary, Queen of Scots",False,46067.0
1395,1971,1972,29,BEST SCREENPLAY,Ernest Tidyman,"French Connection, The",False,1051.0
1396,1971,1972,29,BEST SCREENPLAY,Andy Lewis,Klute,False,466.0
1397,1971,1972,29,BEST SCREENPLAY,John Paxton,Kotch,False,76002.0
1398,1971,1972,29,BEST SCORE,Isaac Hayes,Shaft,True,482.0
1399,1971,1972,29,BEST SCORE,Michel Legrand,Summer of '42,False,41357.0
1400,1971,1972,29,BEST SCORE,Gil Melle,"Andromeda Strain, The",False,10514.0
1401,1971,1972,29,BEST SCORE,Michel Legrand,Le Mans,False,5920.0
1402,1971,1972,29,BEST SCORE,John Barry,"Mary, Queen of Scots",False,46067.0
1403,1971,1972,29,BEST SONG,"Life Is What You Make It, Marvin Hamlisch, Johnny Mercer",Kotch,True,76002.0
1404,1971,1972,29,BEST SONG,"Long Ago Tomorrow, Burt Bacharach, Hal David",Long Ago Tomorrow,False,185942.0
1405,1971,1972,29,BEST SONG,"Rain Falls Anywhere It Wants To, Laurence Rosenthal, Alan Bergman, Marilyn Bergman","African Elephant, The",False,277360.0
1406,1971,1972,29,BEST SONG,"Something More, Quincy Jones",Honky,False,134186.0
1407,1971,1972,29,BEST SONG,"Theme From Shaft, Isaac Hayes",Shaft,False,482.0
1408,1971,1972,29,SPECIAL AWARD,Alfred Hitchcock,,False,
1409,1971,1972,29,ACTRESS (COM),Twiggy,"Boy Friend, The",True,31515.0
1410,1971,1972,29,ACTRESS (COM),Sandy Duncan,Star Spangled Girl,False,92292.0
1411,1971,1972,29,ACTRESS (COM),Ruth Gordon,Harold and Maude,False,343.0
1412,1971,1972,29,ACTRESS (COM),Angela Lansbury,Bedknobs and Broomsticks,False,12335.0
1413,1971,1972,29,ACTRESS (COM),Elaine May,"New Leaf, A",False,36850.0
1414,1971,1972,29,FOREIGN,"Israel, Ephraim Kishon","Policeman, The",True,78233.0
1415,1971,1972,29,FOREIGN,"France, Éric Rohmer",Claire's Knee,False,2860.0
1416,1971,1972,29,FOREIGN,"Italy, Bernardo Bertolucci","Conformist, The",False,8416.0
